Name,Hex Code
Beasty Brown,#55432d 
Black,#000000 
Bloody Red,#bf282e 
Bone White,#e8be86 
Bronze Fleshtone,#db945c 
Cadmium Skin,#fab78a 
Camoflage Green,#71753a 
Cayman Green,#285648 
Charred Brown,#39343b 
Cold Grey,#54646d 
Dark Blue,#2b265d 
Dark Fleshtone,#4f2b26 
Dark Green,#083c2a 
Dead Flesh,#bcb686 
Dead White,#ffffff 
Desert Yellow,#8e7845 
Dwarf Skin,#cc7c67 
Earth,#6f563d 
Electric Blue,#008cbf 
Elf Skintone,#f8a070 
Elfic Flesh,#cdc29c 
Filthy Brown,#f58d2b 
Fluo Green,#9dcd64 
Fluo Yellow,#eeea50 
Foul Green,#239378 
Ghost Grey,#a7c5db 
Glacier Blue,#acd0ee 
Goblin Green,#23743c 
Gold Yellow,#fdb318 
Gory Red,#810504 
Heavy Black Green,#18433d 
Heavy Blue,#29556d 
Heavy Blue Grey,#9ca7a7 
Heavy Brown,#705d41 
Heavy Charcoal,#1c2e2e 
Heavy Gold Brown,#ba8636 
Heavy Green,#566840 
Heavy Grey,#626d54 
Heavy Khaki,#9d965d 
Heavy Ochre,#a87536 
Heavy Orange,#ee5527 
Heavy Red,#943238 
Heavy Sienna,#744642 
Heavy Skintone,#aa7b62 
Heavy Violet,#4c2e65 
Heavy Warm Grey,#939066 
Hexed Lichen,#34274d 
Hot Orange,#e43027 
Imperial Purple,#211a4b 
Jade Green,#128379 
Khaki,#8c806d 
Leather Brown,#7b5d2a 
Livery Green,#9ece65 
Magic Blue,#024381 
Moon Yellow,#fff103 
Mutation Green,#296934 
Night Blue,#19183f 
Offwhite,#f5f4da 
Orange Fire,#f1652e 
Pale Flesh,#f6bdb3 
Pale Yellow,#d5c179 
Parasite Brown,#b1481f 
Plague Brown,#cc9b34 
Rosy Flesh,#f89e84 
Royal Purple,#23264f 
"Scarlet ""Blood"" Red",#b72a38 
Scarlet Red,#741330 
Scorpion Green,#48b851 
Scrofulous Brown,#d68030 
Scurvy Green,#09474e 
Sick Green,#096638 
Smokey Ink,#2b2325 
Sombre Grey,#4c5c7d 
Squid Pink,#da7fb5 
Steel Grey,#64889d 
Stonewall Grey,#828e95 
Stormy Night,#1f1a4f 
Sun Yellow,#ffcf07 
Tan,#9f4746 
Terracota,#6b1306 
Turquoise,#03676f 
Ultramarine Blue,#373592 
Verdigris,#b3ceca 
Warlord Purple,#7d1a44 
Wolf Grey,#90a2bc 
Yellow Olive,#063b2f 
