Name,Hex Code
Amaranth Red,#cc4338 
Andrea Blue,#008dc9 
Azure,#717cad 
Basalt Grey,#576860 
Basic Skintone,#fbbc8c 
Beige,#dbc58e 
Beige Brown,#78584a 
Beige Red,#c79166 
Black,#252b31 
Black Green,#19423e 
Black Grey,#2d373a 
Black Red [Cadmium Brown],#5f2e39 
Blue,#043667 
Blue Green,#1a9496 
Blue Grey Pale,#9ea7a5 
Blue Violet,#795c9a 
Bright Orange,#f26833 
Bronce Green,#2a534f 
Brown Rose,#cf8774 
Brown Sand,#b08064 
Brown Violet,#4e5d4d 
Buff,#d2ca9f 
Burnt Cadmium Red,#623535 
Burnt Umber,#665148 
Cam. Olive Green,#3c5549 
Carmine Red,#b73035 
Cavalry Brown,#853f3d 
Chocolate Brown,#5f5047 
Clear Orange,#f1552c 
Cork Brown,#a57b63 
Dark Blue,#0d5a86 
Dark Blue Grey,#4b5751 
Dark Blue Grey,#5c7476 
Dark Flesh,#d9a262 
Dark Grey,#233e3d 
Dark Prussian Blue,#192c43 
Dark Red,#a24a46 
Dark Sand,#d1b47e 
Dark Sand,#d6b779 
Dark Sea Blue,#2a4048 
Dark Sea Green,#2f4844 
Dark Sea Grey,#787d7a 
Dark Yellow,#9d9059 
Deck Tan,#bec5b3 
Deep Green,#0a6b48 
Deep Sky Blue,#00a6da 
Deep Yellow,#ffe30c 
Desert Yellow,#b19151 
Emerald,#00906a 
English Uniform,#715833 
Field Blue,#436872 
Flat Blue,#336991 
Flat Brown,#764841 
Flat Earth,#87643c 
Flat Flesh,#d8a977 
Flat Green,#2a6531 
Flat Red,#aa3037 
Flat Yellow,#ffcd25 
French Mirage Blue,#557880 
German Cam. Beige WW2,#9c8d70 
German Cam. Black Brown,#553528 
German Cam. Black Brown,#5b3528 
German Cam. Bright Green,#528944 
German Cam. Dark Green,#2f4845 
German Cam. Extra Dark Green,#30504a 
German Cam. Medium Brown,#722b2f 
German Cam. Orange Ochre,#9d7e55 
German Cam. Pale Brown,#82685e 
German Field Grey WW2,#595748 
German Grey,#192f30 
German Orange,#f05426 
German Uniform,#286254 
German Yellow,#e8e589 
Glossy Black,#010101 
Gold Brown,#ba8636 
Golden Olive,#78923b 
Golden Yellow,#f7c65e 
Green Brown,#8d7b55 
Green Grey,#827e61 
Green Ochre,#a98969 
Green Sky,#59ad84 
Grey Blue,#45708d 
Grey Green,#565a60 
Grey Grey,#aecbbb 
Gunship Green,#3d685e 
Hull Red,#522724 
Ice Yellow,#feef87 
Intermediate Blue,#607a80 
Intermediate Green,#49944f 
Iraqi Sand,#b89972 
Ivory,#eff1d9 
Japan Uniform WW2,#998546 
Khaki,#969163 
Khaki Grey,#8b7f5d 
Leather Brown,#4a4639 
Lemon Yellow,#fef10e 
Light Brown,#bf764e 
Light Flesh,#feedd0 
Light Green,#00a850 
Light Green Blue,#6d9a95 
Light Grey,#949c9a 
Light Orange,#f68627 
Light Sea Grey,#97b4b5 
Light Turquoise,#0094a5 
Light Yellow,#f7ea62 
Lime Green,#6fae4e 
London Grey,#4a555e 
Luftwaffe Cam. Green,#596b3f 
Luftwaffe Uniform WW2,#3d474f 
Magenta,#a92a56 
Mahogany Brown,#804b47 
Medium Blue,#066588 
Medium Fleshtone,#c08245 
Medium Grey,#909b85 
Medium Olive,#226b2e 
Medium Sea Grey,#869393 
Middlestone,#9c9660 
Military Green,#3e5848 
Neutral Grey,#64767a 
Ochre Brown,#a77237 
Offwhite,#efeee2 
Old Rose,#d47b7d 
Olive Green,#6a8b3a 
Olive Grey,#39584f 
Orange Brown,#b86f44 
Orange Red,#e34c26 
Oxford Blue,#3a465f 
Pale Blue,#83b5b2 
Pale Grey Blue,#bacdd0 
Pale Sand,#d1c49c 
Park Green Flat,#008c5d 
Pastel Blue,#67859b 
Pastel Green,#a4bb99 
Pink,#d37497 
Prussian Blue,#2a546e 
Purple,#834a6c 
Red,#91323a 
Red Leather,#93453d 
Reflective Green,#496244 
Royal Blue,#41558d 
Royal Purple,#4b2967 
Russian Uniform WW2,#606d53 
Saddle Brown,#89584f 
Salmon Rose,#f89d87 
Sand Yellow,#d7bf75 
Scarlet,#da3630 
Silver Grey,#d8dfd5 
Sky Blue,#86d6f7 
Sky Grey,#b3b6b2 
Stone Grey,#959980 
Sunny Skintone,#f4b171 
Sunset Red,#c22c5f 
Tan Earth,#9c7962 
Tan Yellow,#b5915d 
Turquoise,#008e9c 
US Dark Green,#5b6955 
US Field Drab,#705d43 
USA Olive Drab,#3b4947 
Ultramarine,#3b5da7 
Uniform Green,#577a38 
Vermillion,#d22b2d 
Violet,#4b2f65 
Violet Red,#6b2946 
White,#ffffff 
White Grey,#eef1ec 
Yellow Green,#91864b 
Yellow Green,#d9e02a 
Yellow Ochre,#c19448 
Yellow Olive,#26392e 
